tag, ID, wall0Angle, wall1Angle, pitToPitAngle, builtWallAngle, wallBisectedAngle, pitToPitTangent, deltaBuiltBisected, deltaBuiltToPitTangent, deltaBuiltToPitTangentOverSumDeltas 
3, 027A1, 1.55413, 3.31919, 4.34522, 5.94845, 2.43666, 2.77442, 0.370196, 0.0324372, 0.0805627
3, 027A1, 4.73511, 6.26358, 1.05457, 2.59594, 5.49935, 5.76695, 0.238184, 0.0294243, 0.109953
3, 027A1, 2.92292, 5.24734, 5.12345, 0.785398, 4.08513, 3.55266, 0.158143, 0.374334, 0.703005
3, 027A1, 1.84446, 4.02259, 4.11234, 5.77609, 2.93352, 2.54154, 0.299028, 0.0929522, 0.237135
3, 027A1, 1.26274, 3.54648, 4.27001, 5.87829, 2.40461, 2.69922, 0.332087, 0.0374827, 0.101422
3, 027A1, 0.191648, 4.685, 0.936774, 2.71497, 2.43832, 5.64916, 0.276642, 0.207395, 0.42847
3, 027A1, 2.03444, 3.88535, 4.3075, 5.86868, 2.9599, 2.7367, 0.23281, 0.00961456, 0.03966
3, 027A1, 4.44477, 0.0363476, 0.962107, 2.53605, 2.24056, 5.6745, 0.295488, 0.00314442, 0.0105294
3, 027A1, 4.20753, 0.0468407, 4.07837, 2.69717, 2.12718, 2.50757, 0.569989, 0.189604, 0.249612
3, 027B1, 0.762675, 4.93505, 0.896055, 2.4837, 2.84886, 5.60844, 0.365158, 0.0168525, 0.0441153
3, 027B1, 2.04226, 3.93998, 4.23738, 5.78924, 2.99112, 2.66658, 0.343465, 0.01893, 0.0522359
3, 027B1, 0.670522, 5.06342, 4.19055, 2.64765, 2.86697, 2.61976, 0.21932, 0.027893, 0.11283
3, 027B1, 1.08557, 5.08328, 5.02601, 3.56226, 3.08442, 3.45521, 0.477831, 0.107043, 0.183019
3, 027B1, 3.08901, 0.856706, 0.818719, 5.42813, 1.97286, 5.53111, 0.313682, 0.102975, 0.247146
3, 027B1, 1.90189, 4.14907, 5.12054, 0.170735, 3.02548, 3.54974, 0.286845, 0.237414, 0.452856
3, 027B1, 0.876058, 5.33469, 4.24874, 2.44685, 3.10538, 2.67795, 0.658521, 0.231091, 0.259766
3, 027B1, 1.31643, 3.29819, 4.14907, 5.61914, 2.30731, 2.57828, 0.170235, 0.10073, 0.371744
3, 027B1, 4.16483, 0.0516781, 4.19324, 2.53087, 2.10825, 2.62245, 0.422614, 0.0915799, 0.178104
3, 168A1, 1.64876, 4.27576, 4.76639, 0.291457, 2.96226, 3.19559, 0.470787, 0.237456, 0.335274
3, 168A1, 2.11122, 4.04078, 4.53022, 5.63034, 3.076, 2.95942, 0.587253, 0.470678, 0.444904
3, 168A1, 0.720554, 4.6716, 4.1569, 2.89661, 2.69607, 2.5861, 0.200539, 0.310515, 0.607597
