"shape","expt","date","hive","tab","isRandom","angle00","angle01","angle10","angle11","angle20","angle21","angle0","angle1","angle2","angleSum","r","seg","degrees","hiveseg","tabseg","tabinstance","tabinstanceRnd"
7," 090A1","09/07/2020","B",1,0,0.519146,3.40219,0,0,0,0,3.40014,0,0,3.40014,"E","090A1E",194.813671753612,"BE","1E","090A11","090A11E"
7," 090A1","09/07/2020","B",1,0,5.54124,2.31622,0,0,0,0,3.22502,0,0,3.22502,"E","090A1E",184.780034845281,"BE","1E","090A11","090A11E"
7," 090A1","09/07/2020","B",1,1,2.35619,1.38545,1.05165,0.380506,6.21662,5.75511,0.970746,0.671144,0.461506,2.1034,"R","090A1R",120.515942627817,"BR","1R","090A11","090A11R"
7," 090A1","09/07/2020","B",1,1,1.68791,1.45369,0.343024,0,0,0,0.234218,0.343024,0,0.577241,"R","090A1R",33.0734730619112,"BR","1R","090A11","090A11R"
7," 090A1","09/07/2020","B",1,1,1.50838,1.13417,5.90268,5.31793,2.60117,2.20355,0.374208,0.584745,0.397628,1.35658,"R","090A1R",77.7263085718572,"BR","1R","090A11","090A11R"
7," 091A1","09/07/2020","A",1,0,4.77114,1.62955,0,0,0,0,3.14159,0,0,3.14159,"E","091A1E",179.999847960504,"AE","1E","091A11","091A11E"
7," 091A1","09/07/2020","A",1,0,3.07502,1.31019,0.999459,5.94016,0,0,1.76483,1.34248,0,3.10731,"E","091A1E",178.035748638796,"AE","1E","091A11","091A11E"
7," 091A1","09/07/2020","A",1,0,3.42764,2.52134,1.98321,0.785398,0,0,0.906301,1.19781,0,2.10411,"E","091A1E",120.556622631272,"AE","1E","091A11","091A11E"
7," 091A1","09/07/2020","A",1,0,5.81954,3.42764,0,0,0,0,2.39189,0,0,2.39189,"E","091A1E",137.045202059546,"AE","1E","091A11","091A11E"
7," 091A1","09/07/2020","A",1,0,0.519146,6.21662,4.1101,2.52134,0,0,0.585714,1.58876,0,2.17447,"E","091A1E",124.587953677812,"AE","1E","091A11","091A11E"
7," 091A1","09/07/2020","A",1,0,1.98321,1.76819,0.218669,3.42764,0,0,0.215015,3.07421,0,3.28923,"E","091A1E",188.458996847816,"AE","1E","091A11","091A11E"
7," 091A1","09/07/2020","A",1,0,2.57026,1.62955,0.737815,5.07116,0,0,0.940703,1.94984,0,2.89054,"E","091A1E",165.615742513745,"AE","1E","091A11","091A11E"
7," 091A1","09/07/2020","A",1,0,4.86899,2.14213,0,0,0,0,2.72686,0,0,2.72686,"E","091A1E",156.237569323044,"AE","1E","091A11","091A11E"
7," 091A1","09/07/2020","A",1,0,0.665969,5.45434,3.48462,3.01724,0,0,1.49482,0.467379,0,1.9622,"E","091A1E",112.42577856057,"AE","1E","091A11","091A11E"
7," 091A1","09/07/2020","A",1,1,5.71185,5.42648,4.71239,4.42634,1.5708,1.22777,0.285368,0.286051,0.343024,0.914443,"R","091A1R",52.3937245052815,"AR","1R","091A11","091A11R"
7," 091A1","09/07/2020","A",1,1,0,5.31793,2.70918,1.50838,0,0,0.965252,1.20081,0,2.16606,"R","091A1R",124.106096172107,"AR","1R","091A11","091A11R"
7," 091A1","09/07/2020","A",1,1,1.76819,1.44644,6.05209,5.20235,3.20401,2.88099,0.321751,0.849748,0.323021,1.49452,"R","091A1R",85.6296883978918,"AR","1R","091A11","091A11R"
7," 091A1","09/07/2020","A",1,1,0.828849,0.489957,5.76404,5.30039,4.42634,3.74714,0.338892,0.463647,0.6792,1.48174,"R","091A1R",84.8974483357146,"AR","1R","091A11","091A11R"
7," 091A1","09/07/2020","A",1,1,1.05165,0.702257,5.45781,5.1248,4.17197,3.69325,0.349393,0.333009,0.478722,1.16112,"R","091A1R",66.5272755082301,"AR","1R","091A11","091A11R"
7," 091A1","09/07/2020","A",1,1,0.785398,0.321751,4.52704,4.24874,2.70497,2.35619,0.463648,0.278299,0.348771,1.09072,"R","091A1R",62.4936526305091,"AR","1R","091A11","091A11R"
7," 091A1","09/07/2020","A",1,1,1.5708,1.19029,5.61722,5.33264,4.04642,3.83633,0.380506,0.284578,0.210089,0.875173,"R","091A1R",50.1437192438028,"AR","1R","091A11","091A11R"
7," 091A1","09/07/2020","A",1,1,6.21188,5.53777,3.96401,3.87941,2.11122,1.68791,0.674112,0.0846033,0.423311,1.18203,"R","091A1R",67.7253302578487,"AR","1R","091A11","091A11R"
7," 091A1","09/07/2020","A",1,1,0.605545,5.62749,4.51499,4.10684,3.554,3.32694,1.26124,0.408149,0.227062,1.89645,"R","091A1R",108.658581057585,"AR","1R","091A11","091A11R"
7," 091A1","09/07/2020","A",1,1,0.62025,0.110657,4.77481,4.22243,2.4859,2.03444,0.509592,0.552376,0.451453,1.51342,"R","091A1R",86.712578630689,"AR","1R","091A11","091A11R"
7," 093A1","11/07/2020","B",1,0,2.08319,6.15883,5.20235,4.71239,3.44448,2.85554,2.20754,0.489957,0.588936,3.28643,"E","093A1E",188.298568665179,"BE","1E","093A11","093A11E"
7," 093A1","11/07/2020","B",1,0,2.26553,5.58845,0,0,0,0,2.96027,0,0,2.96027,"E","093A1E",169.610977219192,"BE","1E","093A11","093A11E"
7," 093A1","11/07/2020","B",1,0,0.54042,0.286051,5.53777,3.14159,0,0,0.254368,2.39617,0,2.65054,"E","093A1E",151.864755430605,"BE","1E","093A11","093A11E"
7," 093A1","11/07/2020","B",1,0,2.57026,5.58845,0,0,0,0,3.26499,0,0,3.26499,"E","093A1E",187.070147152419,"BE","1E","093A11","093A11E"
