tag, ID, isRandom, pit0x, pit0y, pit1x, pit1y,w0x, w0y, w1x, w1y
8, 109A1, 0, 1890, 935, 1866, 962, 1873, 923, 1884, 954
8, 109A1, 0, 1965, 946, 1998, 946, 1985, 934, 1985, 948
8, 109A1, 0, 2899, 1028, 2929, 1008, 2915, 1000, 2923, 1025
8, 109A1, 1, 2437, 1227, 2454, 1266, 2446, 1237, 2455, 1259
8, 109A1, 1, 2454, 1199, 2460, 1237, 2450, 1221, 2476, 1218
8, 109A1, 1, 2439, 1140, 2483, 1145, 2450, 1132, 2469, 1145
8, 109A1, 0, 1855, 1059, 1891, 1031, 1866, 1031, 1874, 1046
8, 109A1, 0, 1893, 1131, 1854, 1165, 1860, 1152, 1874, 1136
8, 109A1, 0, 2003, 1038, 1957, 1038, 1986, 1033, 1986, 1047
8, 109A1, 0, 1998, 1140, 1952, 1139, 1991, 1127, 1985, 1146
8, 109A1, 1, 1868, 962, 1904, 977, 1871, 954, 1873, 986
8, 109A1, 1, 1940, 1118, 1912, 1150, 1908, 1126, 1926, 1150
8, 109A1, 1, 2501, 1081, 2495, 1039, 2517, 1054, 2489, 1060
8, 114A1, 0, 2725, 1051, 2759, 1078, 2734, 1063, 2742, 1047
8, 114A1, 0, 2723, 1119, 2760, 1146, 2733, 1132, 2738, 1119
8, 114A1, 0, 1931, 1116, 1929, 1160, 1922, 1126, 1948, 1136
8, 114A1, 1, 1916, 1013, 1879, 993, 1889, 1007, 1919, 1005
8, 114A1, 1, 1819, 1059, 1814, 1101, 1825, 1066, 1813, 1087
8, 114A1, 1, 1882, 1113, 1868, 1077, 1866, 1092, 1899, 1087
8, 115A2, 0, 2001, 946, 2020, 970, 2001, 967, 2017, 947
8, 115A2, 0, 2117, 943, 2148, 944, 2133, 941, 2132, 954
8, 115A2, 0, 1995, 1045, 2023, 1064, 2000, 1060, 2009, 1036
8, 115A2, 0, 2111, 1042, 2155, 1045, 2134, 1046, 2140, 1028
8, 115A2, 0, 1995, 1129, 2030, 1154, 1997, 1152, 2008, 1127
8, 115A2, 0, 2595, 1130, 2614, 1167, 2584, 1154, 2613, 1143
8, 115A2, 1, 2635, 1073, 2622, 1113, 2621, 1077, 2646, 1081
8, 115A2, 1, 2075, 1105, 2093, 1145, 2088, 1123, 2073, 1132
8, 115A2, 1, 2078, 1018, 2047, 984, 2052, 1009, 2075, 1010
8, 115A2, 1, 2670, 1056, 2712, 1061, 2683, 1064, 2691, 1045
8, 115A2, 1, 2660, 1144, 2621, 1120, 2651, 1119, 2628, 1131
8, 115A2, 1, 2034, 1254, 2075, 1269, 2069, 1247, 2056, 1264
8, 115A2, 0, 2105, 1127, 2155, 1141, 2151, 1134, 2126, 1144
8, 115A2, 0, 2101, 1217, 2150, 1231, 2132, 1254, 2140, 1227
8, 115A2, 0, 1994, 1209, 2031, 1238, 1997, 1225, 2015, 1202
8, 115A2, 1, 2008, 1090, 1995, 1127, 1998, 1131, 2009, 1098
8, 115A2, 1, 1999, 1223, 2038, 1221, 2001, 1226, 2014, 1204
8, 115A2, 1, 2702, 1221, 2676, 1253, 2680, 1215, 2708, 1221
8, 116A1, 0, 2705, 964, 2733, 979, 2733, 969, 2717, 998
8, 116A1, 0, 2695, 1034, 2730, 1052, 2702, 1041, 2717, 1015
8, 116A1, 0, 2693, 1104, 2732, 1126, 2707, 1108, 2699, 1133
8, 116A1, 1, 2694, 932, 2730, 956, 2697, 951, 2730, 953
8, 116A1, 1, 2677, 1022, 2638, 1000, 2683, 997, 2666, 1019
8, 116A1, 1, 2760, 1086, 2747, 1122, 2741, 1107, 2760, 1125
8, 116A1, 0, 2689, 1184, 2732, 1220, 2689, 1183, 2740, 1203
