class,h0, h1, h2, h3, h4, h5, h6, fl0, fl1, fl2, fl3, fl4, fl5, fl6, fle,  fa0, fa1, fa2, fa3, fa4, fa5, fa6, fae, c0, c1, c2, c3, c4, c5, c6, ce
5,-0.0183,0.163,0.089,0.189,0.136,0.255,0.271,0,0.133,0.0107,0.062,-0.0392,0.0321,0,0.155,0,-0.667,-0.629,-0.418,-0.359,-0.128,0,1.08,0,-0.0925,-0.346,-0.338,-0.396,-0.193,0,0.661
5,-0.0183,0.194,0.258,0.321,0.37,0.658,0.47,0,0.13,0.114,0.0955,0.0633,0.27,0,0.34,0,-0.0295,-0.206,-0.384,-0.577,-0.53,0,0.897,0,-0.0949,-0.243,-0.304,-0.293,0.0444,0,0.499
5,-0.0183,0.266,0.227,0.292,0.343,0.462,0.306,0,0.231,0.137,0.148,0.145,0.21,0,0.399,0,-0.569,-0.503,-0.332,-0.175,0.0503,0,0.849,0,0.00517,-0.22,-0.252,-0.212,-0.015,0,0.396
5,-0.0183,0.202,0.195,0.333,0.28,0.332,0.314,0,0.165,0.103,0.185,0.0772,0.0737,0,0.289,0,-0.102,-0.43,-0.615,-0.456,-0.193,0,0.905,0,-0.0603,-0.254,-0.215,-0.28,-0.152,0,0.464
5,-0.0183,0.402,0.373,0.556,0.503,0.709,0.723,0,0.297,0.144,0.204,0.0273,0.11,0,0.404,0,-0.503,-0.496,-0.276,-0.293,-0.0502,0,0.815,0,0.0716,-0.213,-0.196,-0.329,-0.116,0,0.459
5,-0.0183,0.415,0.421,0.441,0.635,0.709,0.784,0,0.3,0.172,0.0583,0.119,0.0594,0,0.375,0,-0.5,-0.468,-0.422,-0.201,-0.101,0,0.835,0,0.0746,-0.185,-0.342,-0.238,-0.166,0,0.49
5,-0.0183,0.323,0.236,0.626,0.635,0.524,0.228,0,0.3,0.172,0.521,0.489,0.337,0,0.863,0,0.0332,-0.361,-0.279,-0.0442,0.0705,0,0.465,0,0.00342,-0.294,0,0.0231,0.0407,0,0.297
5,0.231,0.171,0.02,0.232,0.0722,0.0539,0.142,0,-0.0455,-0.181,0.0453,-0.0996,-0.103,0,0.24,0,-0.312,-0.715,-0.755,-0.633,-0.37,0,1.31,0,-0.271,-0.538,-0.355,-0.456,-0.329,0,0.897
5,0.221,0.467,0.464,0.493,0.474,0.286,-0.142,0,0.307,0.364,0.454,0.496,0.367,0,0.902,0,0.107,-0.0359,-0.146,-0.304,-0.0326,0,0.357,0,0.0506,-0.0413,0,0.0904,0.111,0,0.157
5,-0.0183,0.216,0.314,0.359,0.394,0.288,0.328,0,0.176,0.217,0.204,0.182,0.0172,0,0.391,0,-0.224,-0.583,-0.396,-0.218,-0.183,0,0.793,0,-0.0493,-0.14,-0.196,-0.175,-0.208,0,0.367
5,0.516,0.397,0.437,0.238,0.238,0.159,0,0,-0.0331,0.0926,-0.0198,0.0661,0.0728,0,0.14,0,-0.433,-0.707,-0.62,-0.334,-0.127,0,1.1,0,-0.258,-0.264,-0.42,-0.291,-0.153,0,0.649
5,0.144,0.0719,0.036,0,0.036,0,0,0,-0.048,-0.06,-0.0719,-0.012,-0.024,0,0.109,0,-0.248,-0.46,-0.672,-0.812,-0.424,0,1.25,0,-0.273,-0.417,-0.472,-0.369,-0.249,0,0.818
5,0.143,0.0714,0.214,0.107,0.107,0.0714,0,0,-0.0476,0.119,0.0357,0.0595,0.0476,0,0.153,0,-0.448,-0.681,-0.564,-0.34,-0.152,0,1.06,0,-0.273,-0.238,-0.364,-0.297,-0.178,0,0.619
5,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0,0,0.00561,0.0112,0.0168,0.0224,0.0281,0,0.0416,0,-0.194,-0.389,-0.583,-0.778,-0.372,0,1.13,0,-0.22,-0.346,-0.383,-0.334,-0.197,0,0.682
5,0.0692,0,0,0.0692,0.104,0.173,0.242,0,-0.098,-0.127,-0.0865,-0.0807,-0.0404,0,0.203,0,-0.298,-0.527,-0.687,-0.881,-0.44,0,1.34,0,-0.323,-0.484,-0.487,-0.438,-0.266,0,0.915
5,0.554,0.554,0.554,0.456,0.326,0.195,0,0,0.0923,0.185,0.179,0.141,0.103,0,0.324,0,-0.308,-0.615,-0.421,-0.259,-0.0969,0,0.853,0,-0.133,-0.172,-0.221,-0.216,-0.122,0,0.397
5,0,0.0971,0.0324,0.0971,0.162,0.291,0.0324,0,0.0917,0.0216,0.0809,0.14,0.264,0,0.324,0,-0.108,-0.378,-0.519,-0.66,-0.136,0,0.937,0,-0.134,-0.335,-0.319,-0.217,0.039,0,0.53
5,0,0.0932,0.217,0.404,0.435,1.02,0.932,0,-0.0621,-0.0932,-0.0621,-0.186,0.248,0,0.336,0,-0.329,-0.627,-0.862,-0.72,-0.0182,0,1.33,0,-0.287,-0.45,-0.462,-0.543,0.0231,0,0.891
5,0,0.245,0.21,0.175,0.14,0.105,0.14,0,0.221,0.163,0.105,0.0466,-0.0117,0,0.298,0,-0.179,-0.637,-0.495,-0.353,-0.212,0,0.923,0,-0.00389,-0.194,-0.295,-0.31,-0.237,0,0.526
5,0.0727,0,0.182,0.182,0.255,0.255,0.0364,0,-0.0667,0.121,0.127,0.206,0.212,0,0.35,0,-0.267,-0.279,-0.473,-0.594,-0.188,0,0.872,0,-0.292,-0.236,-0.273,-0.151,-0.0132,0,0.488
5,0,0.122,0.122,0.183,0.275,0.245,0.122,0,0.102,0.0815,0.122,0.194,0.143,0,0.3,0,-0.0981,-0.318,-0.478,-0.606,-0.257,0,0.879,0,-0.123,-0.275,-0.278,-0.163,-0.0826,0,0.449
5,0,0.0321,0,0.0641,0.0962,0.0641,0.0641,0,0.0214,-0.0214,0.0321,0.0534,0.0107,0,0.0701,0,-0.179,-0.421,-0.568,-0.747,-0.389,0,1.11,0,-0.204,-0.378,-0.368,-0.303,-0.215,0,0.677
5,0.114,0.114,0.17,0.0852,0,0.142,0.199,0,-0.0142,0.0284,-0.071,-0.17,-0.0426,0,0.192,0,-0.414,-0.772,-0.671,-0.57,-0.243,0,1.27,0,-0.24,-0.328,-0.471,-0.527,-0.268,0,0.858
5,0.0917,0.245,0.183,0.153,0.0917,0.0612,0,0,0.168,0.122,0.107,0.0612,0.0459,0,0.246,0,-0.232,-0.678,-0.493,-0.339,-0.154,0,0.946,0,-0.0571,-0.234,-0.293,-0.296,-0.179,0,0.513
5,0.901,0.785,0.727,0.465,0.523,0.407,0,0,0.0339,0.126,0.0145,0.223,0.257,0,0.364,0,-0.166,-0.274,-0.585,-0.577,-0.143,0,0.894,0,-0.191,-0.231,-0.385,-0.134,0.0315,0,0.507
5,0,0.0573,0.115,0.258,0.287,0.115,0.0573,0,0.0478,0.0955,0.229,0.248,0.0669,0,0.361,0,-0.152,-0.304,-0.371,-0.552,-0.333,0,0.818,0,-0.178,-0.261,-0.171,-0.108,-0.158,0,0.407
5,0.185,0.246,0.277,0.215,0.215,0.0615,0,0,0.0923,0.154,0.123,0.154,0.0308,0,0.268,0,-0.308,-0.646,-0.477,-0.246,-0.169,0,0.91,0,-0.133,-0.203,-0.277,-0.203,-0.195,0,0.463
5,0.747,0.747,0.584,0.552,0.39,0.195,0,0,0.124,0.0866,0.179,0.141,0.0703,0,0.282,0,-0.142,-0.447,-0.621,-0.393,-0.196,0,0.894,0,-0.101,-0.27,-0.221,-0.216,-0.155,0,0.45
5,0.212,0.0303,0,0.152,0.182,0.455,0.333,0,-0.202,-0.253,-0.121,-0.111,0.141,0,0.389,0,-0.402,-0.653,-0.721,-0.911,-0.259,0,1.42,0,-0.427,-0.609,-0.521,-0.468,-0.0839,0,1.03
5,0.233,0.167,0,0.167,0.267,0.367,0.133,0,-0.05,-0.2,-0.0167,0.1,0.217,0,0.316,0,-0.25,-0.6,-0.617,-0.7,-0.183,0,1.15,0,-0.275,-0.557,-0.417,-0.257,-0.00866,0,0.791
1,0.19,0.38,0.312,0.364,0.394,0.626,-0.142,0,0.245,0.232,0.34,0.426,0.713,0,0.959,0,0.0451,-0.168,-0.26,-0.374,0.313,0,0.579,0,0.0198,-0.124,-0.06,0.0691,0.488,0,0.512
1,-0.0183,0.265,0.32,0.462,0.495,0.391,0.287,0,0.232,0.237,0.328,0.31,0.155,0,0.581,0,-0.0345,-0.296,-0.472,-0.223,-0.112,0,0.612,0,0.00688,-0.12,-0.0721,-0.0468,-0.0703,0,0.163
1,-0.0183,0.325,0.289,0.44,0.432,0.459,0.127,0,0.319,0.259,0.386,0.354,0.356,0,0.755,0,0.0525,-0.274,-0.414,-0.179,0.0897,0,0.538,0,0.0938,-0.0977,-0.0138,-0.00275,0.131,0,0.189
1,-0.0183,0.0404,0.179,0.384,0.45,0.392,-0.0233,0,0.0596,0.199,0.404,0.471,0.414,0,0.775,0,-0.14,-0.201,-0.196,-0.329,0.0143,0,0.455,0,-0.168,-0.162,0,0.111,0.186,0,0.319
1,-0.0183,0.157,0.256,0.486,0.635,0.516,0.194,0,0.14,0.203,0.398,0.512,0.357,0,0.78,0,-0.06,-0.197,-0.202,-0.288,-0.0432,0,0.41,0,-0.0854,-0.154,-0.00216,0.155,0.131,0,0.269
1,0.202,-0.0786,0.204,0.278,0.409,0.391,0.0782,0,-0.26,0.0429,0.138,0.289,0.292,0,0.507,0,-0.46,-0.357,-0.462,-0.511,-0.108,0,0.909,0,-0.486,-0.314,-0.262,-0.0674,0.0664,0,0.642
