class,h0, h1, h2, h3, h4, h5, h6, fl0, fl1, fl2, fl3, fl4, fl5, fl6, fle,  fa0, fa1, fa2, fa3, fa4, fa5, fa6, fae, c0, c1, c2, c3, c4, c5, c6, ce
1,0.557,0.719,0.789,0.835,0.673,0.441,0,0,0.255,0.418,0.557,0.487,0.348,0,0.953,0,-0.0114,-0.116,-0.243,-0.0461,0.0814,0,0.285,0,-0.0625,-0.0806,0,-0.0109,0.0303,0,0.107
1,0.574,0.94,0.992,1.12,0.94,0.444,0,0,0.461,0.609,0.836,0.748,0.348,0,1.4,0,0.183,0.0522,0,0.191,0.0696,0,0.279,0,-0.0308,-0.144,0,-0.00446,-0.144,0,0.206
1,0.772,1.03,1.03,0.997,0.932,0.772,0,0,0.386,0.514,0.611,0.675,0.643,0,1.29,0,0.186,0.114,0.0109,-0.125,0.243,0,0.35,0,0.0354,-0.0328,0,0.128,0.293,0,0.323
1,0,0.344,0.406,0.5,0.562,0.437,0.25,0,0.302,0.323,0.375,0.396,0.229,0,0.738,0,0.102,-0.0771,-0.225,-0.404,-0.171,0,0.509,0,0.0768,-0.0339,-0.025,0.0391,0.00383,0,0.0959
1,0,0.191,0.318,0.541,0.573,0.478,0.382,0,0.127,0.191,0.35,0.318,0.159,0,0.55,0,-0.139,-0.342,-0.45,-0.215,-0.107,0,0.63,0,-0.0979,-0.166,-0.0497,-0.0383,-0.0661,0,0.213
1,1.39,1.58,1.58,1.58,1.32,0.613,0,0,0.425,0.656,0.887,0.86,0.382,0,1.51,0,0.129,0.0645,0,0.269,0.086,0,0.317,0,-0.101,-0.145,0,0.0596,-0.144,0,0.236
1,0.0667,0.333,0.467,0.6,0.5,0.3,0,0,0.278,0.422,0.567,0.478,0.289,0,0.942,0,0.0111,-0.111,-0.233,-0.0556,0.0222,0,0.266,0,-0.0458,-0.0849,0,-0.0293,-0.0347,0,0.107
1,0.125,0.312,0.343,0.498,0.467,0.312,0,0,0.208,0.26,0.436,0.426,0.291,0,0.753,0,-0.059,-0.274,-0.364,-0.108,0.0241,0,0.472,0,-0.0386,-0.13,0,0.0365,0.0444,0,0.147
1,0,0.222,0.349,0.54,0.508,0.317,0.0635,0,0.212,0.328,0.508,0.466,0.265,0,0.835,0,-0.055,-0.205,-0.292,-0.0677,-0.00212,0,0.368,0,-0.0769,-0.126,0,0.0117,-0.024,0,0.15
1,0.887,1.07,1.07,0.979,0.856,0.398,0,0,0.331,0.479,0.535,0.561,0.25,0,1,0,0.131,0.0791,-0.0648,-0.239,-0.15,0,0.328,0,0.0266,0.000538,0,0.0821,-0.055,0,0.102
1,1.06,1.19,1.19,1.09,0.994,0.288,0,0,0.304,0.481,0.561,0.641,0.112,0,1.03,0,0.104,0.0808,-0.0391,-0.159,-0.288,0,0.356,0,-0.0157,-0.0211,0,0.139,-0.208,0,0.252
1,0.308,0.488,0.566,0.643,0.617,0.283,0,0,0.231,0.36,0.488,0.514,0.231,0,0.86,0,0.0314,-0.0401,-0.112,-0.286,-0.169,0,0.354,0,-0.0456,-0.0765,0,0.0778,-0.0456,0,0.127
1,0.794,0.984,1.08,1.08,1.02,0.667,0,0,0.323,0.55,0.683,0.751,0.534,0,1.31,0,0.123,0.15,0.0825,-0.0487,0.134,0,0.255,0,-0.0718,-0.0622,0,0.139,0.14,0,0.219
1,0.76,0.789,0.936,0.789,0.673,0.409,0,0,0.156,0.429,0.409,0.419,0.283,0,0.795,0,-0.244,-0.371,-0.191,0.0191,0.0826,0,0.491,0,-0.0748,0.0637,0,0.0539,0.0519,0,0.123
1,0.123,0.369,0.462,0.585,0.523,0.154,0,0,0.267,0.379,0.523,0.482,0.133,0,0.86,0,0,-0.154,-0.277,-0.0513,-0.133,0,0.348,0,-0.0309,-0.0881,0,0.0144,-0.164,0,0.189
1,0,0.167,0.3,0.467,0.533,0.467,0.367,0,0.106,0.178,0.283,0.289,0.161,0,0.482,0,-0.0944,-0.222,-0.317,-0.511,-0.239,0,0.691,0,-0.12,-0.179,-0.117,-0.0679,-0.0642,0,0.262
1,0.377,0.522,0.638,0.667,0.638,0.319,0,0,0.208,0.386,0.478,0.512,0.256,0,0.865,0,0.00773,-0.0135,-0.122,-0.288,-0.144,0,0.345,0,-0.0633,-0.0407,0,0.0849,-0.015,0,0.114
1,0.636,0.682,0.682,0.636,0.523,0.273,0,0,0.152,0.258,0.318,0.311,0.167,0,0.561,0,-0.115,-0.276,-0.482,-0.223,-0.1,0,0.617,0,-0.0738,-0.0992,-0.0818,-0.0462,-0.0587,0,0.166
1,0.928,1.01,1.03,0.876,0.722,0.387,0,0,0.232,0.412,0.412,0.412,0.232,0,0.786,0,-0.168,-0.388,-0.188,0.0124,0.032,0,0.464,0,-0.000544,0.0445,0,0.0445,-0.000542,0,0.0629
1,0,0.341,0.477,0.659,0.568,0.386,0.0909,0,0.326,0.447,0.614,0.508,0.311,0,1.02,0,0.0591,-0.0864,-0.186,-0.0258,0.0439,0,0.22,0,-0.0263,-0.103,0,-0.0421,-0.0415,0,0.121
1,0.139,0.279,0.418,0.613,0.529,0.251,0,0,0.162,0.325,0.543,0.483,0.227,0,0.844,0,-0.104,-0.208,-0.257,-0.0505,-0.0392,0,0.353,0,-0.147,-0.161,0,-0.00299,-0.082,0,0.233
1,0.827,0.93,1.01,0.956,0.956,0.62,0,0,0.241,0.457,0.543,0.68,0.482,0,1.12,0,0.0412,0.0565,-0.0574,-0.12,0.0823,0,0.171,0,-0.068,-0.0288,0,0.195,0.173,0,0.271
1,0.109,0.408,0.598,0.734,0.679,0.435,0,0,0.317,0.525,0.679,0.643,0.417,0,1.19,0,0.0504,-0.00797,-0.121,0.11,0.15,0,0.227,0,-0.0755,-0.0842,0,0.0335,0.0241,0,0.12
1,0,0.584,0.66,0.863,0.761,0.533,0.279,0,0.537,0.567,0.723,0.575,0.3,0,1.25,0,0.271,0.0335,-0.0766,0.042,0.0337,0,0.288,0,0.117,-0.083,0,-0.0745,-0.12,0,0.201
1,0,0.243,0.395,0.426,0.395,0.243,0.213,0,0.208,0.324,0.319,0.253,0.0659,0,0.564,0,-0.192,-0.476,-0.281,-0.147,-0.134,0,0.618,0,-0.0176,-0.0326,-0.0809,-0.103,-0.159,0,0.21
1,0.464,0.638,0.725,0.667,0.609,0.232,0,0,0.251,0.415,0.435,0.454,0.155,0,0.809,0,0.0512,0.0155,-0.165,-0.346,-0.245,0,0.458,0,0.00567,0.0274,0,0.0661,-0.0909,0,0.116
1,0.783,0.94,0.862,0.809,0.627,0.209,0,0,0.287,0.339,0.418,0.366,0.0783,0,0.716,0,0.0205,-0.194,-0.382,-0.168,-0.188,0,0.498,0,0.0516,-0.0333,0,-0.00719,-0.157,0,0.169
1,0.314,0.457,0.571,0.6,0.514,0.171,0,0,0.195,0.362,0.443,0.41,0.119,0,0.74,0,-0.0714,-0.171,-0.357,-0.124,-0.148,0,0.446,0,-0.055,-0.0334,0,0.0142,-0.131,0,0.147
1,0.199,0.473,0.647,0.697,0.672,0.299,0,0,0.307,0.514,0.597,0.605,0.265,0,1.07,0,0.107,0.114,-0.00299,-0.195,-0.135,0,0.284,0,-0.0352,-0.0205,0,0.0707,-0.0766,0,0.112
1,0,0.351,0.486,0.73,0.676,0.568,0.189,0,0.32,0.423,0.635,0.55,0.41,0,1.07,0,0.0532,-0.11,-0.165,0.0162,0.143,0,0.251,0,-0.0454,-0.146,0,-0.0197,0.0447,0,0.16
1,0.209,0.34,0.445,0.602,0.471,0.288,0,0,0.166,0.305,0.497,0.401,0.253,0,0.77,0,-0.101,-0.228,-0.303,-0.132,-0.0136,0,0.414,0,-0.116,-0.139,0,-0.043,-0.0292,0,0.189
