ID,seq,w30,w31,w32,w3d0,w3d1,w3d,w20,w21,w22,w2d0,w2d1,w2d,w10,w11,w12,w1d0,w1d1,w1d,curve
 191A2,0,,,,,,,,,,,,,4.53772,5.03414,3.97695,0.496423,0.560768,0.528595,0.528595
 191A2,1,5.60087,4.81206,1.28182,0.788811,1.17746,0.983133,4.67907,4.71239,4.64997,0.0333208,0.029098,0.0312094,3.5877,2.35619,4.34664,1.2315,0.758943,0.995224,0.669855
191A2,2,,,,,,,,,,,,,,,,,,,-0.14126
 191A2,0,,,,,,,,,,,,,1.14103,0.785398,1.43824,0.355636,0.297211,0.326423,0.326423
 191A2,1,,,,,,,,,,,,,4.3075,4.4813,4.08359,0.173801,0.223904,0.198853,0.198853
191A2,2,,,,,,,,,,,,,,,,,,,0.12757
 191A2,0,,,,,,,,,,,,,1.6421,1.90747,1.39094,0.265367,0.251161,0.258264,0.258264
 191A2,1,,,,,,,4.0441,4.35362,1.7976,0.309519,0.895088,0.602304,5.07956,0.96007,4.79553,0.9779,0.284032,0.630966,0.616635
191A2,2,,,,,,,,,,,,,,,,,,,-0.358371
 191B2,0,,,,,,,,,,,,,5.0929,5.60266,4.60565,0.509768,0.487242,0.498505,0.498505
 191B2,1,,,,,,,5.91601,5.88839,5.94016,0.027617,0.0241498,0.0258834,4.65839,4.71239,4.61272,0.0540012,0.0456672,0.0498342,0.0378588
191A2,2,,,,,,,,,,,,,,,,,,,0.4606462
 191B2,0,,,,,,,1.12328,0.732815,1.44644,0.390461,0.323165,0.356813,2.33056,1.91382,2.7367,0.416739,0.406142,0.41144,0.384127
 191B2,1,,,,,,,1.13839,1.19029,1.10715,0.0519017,0.0312397,0.0415707,2.47195,2.35619,2.64225,0.115759,0.170292,0.143026,0.0922982
191A2,2,,,,,,,,,,,,,,,,,,,0.2918288
 191B2,0,,,,,,,1.05634,0.785398,1.24905,0.270947,0.192701,0.231824,2.11759,1.85685,2.55359,0.260737,0.436005,0.348371,0.290098
