tag,ID,seq,w30,w31,w32,w3d0,w3d1,w3d,w20,w21,w22,w2d0,w2d1,w2d,w10,w11,w12,w1d0,w1d1,w1d,curve
12, 191A2, 0, , , , , , , , , , , , , 3.80988, 3.92699, 3.68201, 0.117109, 0.12787, 0.122489, 0.122489
12, 191A2, 1, , , , , , , , , , , , , 3.78509, 3.83633, 3.7296, 0.051237, 0.0554986, 0.0533678, 0.0533678
12, 191A2, 2, , , , , , , , , , , , , 1.01914, 0.96007, 1.05841, 0.0590709, 0.0392655, 0.0491682, 0.0491682
12, 191A2, 0, , , , , , , , , , , , , 1.06031, 1.2723, 0.876058, 0.211989, 0.18425, 0.19812, 0.19812
12, 191A2, 1, , , , , , , , , , , , , 0.972377, 1.03038, 0.927295, 0.0579995, 0.0450822, 0.0515409, 0.0515409
12, 191A2, 2, , , , , , , , , , , , , 1.13839, 1.17601, 1.10715, 0.0376166, 0.0312397, 0.0344282, 0.0344282
12, 191A2, 0, , , , , , , , , , , , , 1.90747, 2.1294, 1.73594, 0.221925, 0.171526, 0.196725, 0.196725
12, 191A2, 1, , , , , , , , , , , , , 2.22187, 2.1588, 2.29744, 0.0630741, 0.0755657, 0.0693199, 0.0693199
12, 191A2, 2, , , , , , , , , , , , , 1.97569, 2.1588, 1.81577, 0.183111, 0.159913, 0.171512, 0.171512
12, 191A2, 0, , , , , , , , , , , , , 1.85459, 2.09887, 1.5708, 0.24428, 0.283794, 0.264037, 0.264037
12, 191A2, 1, , , , , , , , , , , , , 1.91382, 2.0032, 1.8314, 0.089384, 0.0824215, 0.0859028, 0.0859028
12, 191A2, 2, , , , , , , , , , , , , 2.19105, 2.24554, 2.13753, 0.0544914, 0.0535202, 0.0540058, 0.0540058
12, 191A2, 0, , , , , , , , , , , , , 1.78486, 1.73594, 1.83705, 0.048912, 0.0521912, 0.0505516, 0.0505516
12, 191A2, 1, , , , , , , , , , , , , 1.76819, 1.66146, 1.8491, 0.106736, 0.0809044, 0.09382, 0.09382
12, 191A2, 2, , , , , , , , , , , , , 2.07014, 1.99742, 2.13753, 0.0727192, 0.0673827, 0.070051, 0.070051
12, 191B2, 0, , , , , , , , , , , , , 1.63322, 1.44644, 1.81577, 0.186774, 0.18256, 0.184667, 0.184667
12, 191B2, 1, , , , , , , , , , , , , 1.71681, 1.62629, 1.81577, 0.0905137, 0.0989665, 0.0947401, 0.0947401
12, 191B2, 2, , , , , , , , , , , , , 0.526066, 0.558599, 0.489957, 0.0325331, 0.0361091, 0.0343211, 0.0343211
12, 191B2, 0, , , , , , , , , , , , , 0.394791, 0.260602, 0.588003, 0.134189, 0.193211, 0.1637, 0.1637
12, 191B2, 1, , , , , , , , , , , , , 0.309703, 0.298499, 0.321751, 0.011204, 0.0120477, 0.0116258, 0.0116258
12, 191B2, 2, , , , , , , , , , , , , 0.367174, 0.2783, 0.463648, 0.0888742, 0.0964741, 0.0926741, 0.0926741
12, 191B2, 0, , , , , , , , , , , , , 2.38649, 1.91957, 2.77442, 0.466921, 0.387931, 0.427426, 0.427426
12, 191B2, 1, , , , , , , , , , , , , 2.35619, 2.19959, 2.49809, 0.156602, 0.141897, 0.14925, 0.14925
12, 191B2, 2, , , , , , , , , , , , , 1.68567, 1.81577, 1.5708, 0.130102, 0.114877, 0.122489, 0.122489
