cID,ID,seq,w30,w31,w32,w3d0,w3d1,w3d,w20,w21,w22,w2d0,w2d1,w2d,w10,w11,w12,w1d0,w1d1,w1d,curve
12, 001A2, 0, , , , , , , 1.33395, 1.07685, 1.5708, 0.257093, 0.236849, 0.246971, 2.46107, 2.30861, 2.64225, 0.15246, 0.181175, 0.166817, 0.206894
12, 001A2, 1, , , , , , , 1.41214, 1.43824, 1.3734, 0.0261039, 0.0387403, 0.0324221, 2.53379, 2.41495, 2.62245, 0.11884, 0.0886559, 0.103748, 0.0680851
12, 001A2, 2, , , , , , , , , , , , , 3.55982, 3.66074, 3.44009, 0.100922, 0.119725, 0.110324, 0.110324
12, 001A2, 0, , , , , , , 2.62245, 2.77442, 2.42276, 0.151972, 0.199684, 0.175828, 1.61077, 1.83705, 1.4289, 0.226273, 0.181876, 0.204075, 0.189951
12, 001A2, 1, , , , , , , 2.6168, 2.71497, 2.49809, 0.0981683, 0.118706, 0.108437, 1.61244, 1.7976, 1.39094, 0.185156, 0.221496, 0.203326, 0.155882
12, 001A2, 2, , , , , , , , , , , , , 1.49686, 1.5708, 1.4289, 0.0739392, 0.067958, 0.0709486, 0.0709486
12, 001A2, 0, , , , , , , 2.76109, 3.01724, 2.41495, 0.256152, 0.346136, 0.301144, 1.5708, 1.85685, 1.20362, 0.286052, 0.367174, 0.326613, 0.313878
12, 001A2, 1, , , , , , , 2.63743, 2.75099, 2.49809, 0.113559, 0.139335, 0.126447, 1.47584, 1.66146, 1.27934, 0.185612, 0.196505, 0.191058, 0.158753
12, 001A2, 2, , , , , , , , , , , , , 0.446106, 0.343024, 0.588003, 0.103082, 0.141897, 0.122489, 0.122489
12, 001A2, 0, , , , , , , 4.66481, 4.48559, 4.95737, 0.179216, 0.292561, 0.235889, 5.58845, 5.17604, 6.03821, 0.412411, 0.449759, 0.431085, 0.333487
12, 001A2, 1, , , , , , , 2.57828, 2.53087, 2.63449, 0.0474098, 0.0562176, 0.0518137, 1.287, 1.39094, 1.20362, 0.103941, 0.0833797, 0.0936603, 0.072737
12, 001A2, 2, , , , , , , , , , , , , 3.68201, 3.86824, 3.49036, 0.186223, 0.191648, 0.188936, 0.188936
12, 009B3, 0, , , , , , , , , , , , , 0.945311, 0.851966, 1.03038, 0.093345, 0.0850658, 0.0892054, 0.0892054
12, 009B3, 1, , , , , , , , , , , , , 2.77226, 2.9105, 2.62245, 0.138243, 0.149812, 0.144028, 0.144028
12, 009B3, 2, , , , , , , , , , , , , 2.86743, 2.89661, 2.83871, 0.029189, 0.0287175, 0.0289533, 0.0289533
12, 009B3, 0, , , , , , , , , , , , , 2.66207, 2.85554, 2.35619, 0.193468, 0.305879, 0.249673, 0.249673
12, 009B3, 1, , , , , , , , , , , , , 2.83059, 2.86329, 2.79857, 0.0326985, 0.0320256, 0.0323621, 0.0323621
12, 009B3, 2, , , , , , , , , , , , , 0.68573, 0.726642, 0.655696, 0.040913, 0.0300339, 0.0354735, 0.0354735
12, 009B3, 0, , , , , , , , , , , , , 1.80634, 2.11122, 1.5708, 0.304875, 0.235545, 0.27021, 0.27021
12, 009B3, 1, , , , , , , , , , , , , 1.8805, 1.9513, 1.8314, 0.0708036, 0.0491005, 0.059952, 0.059952
12, 009B3, 2, , , , , , , , , , , , , 6.19253, 6.12658, -0, 0.0659418, 0.09066, 0.0783009, 0.0783009
12, 009B3, 0, , , , , , , , , , , , , 2.80686, 3.00904, 2.49809, 0.202185, 0.308764, 0.255475, 0.255475
12, 009B3, 1, , , , , , , , , , , , , 2.84067, 2.88099, 2.79857, 0.0403179, 0.0421038, 0.0412108, 0.0412108
12, 009B3, 2, , , , , , , , , , , , , 0.785398, 0.694738, 0.876058, 0.0906599, 0.09066, 0.09066, 0.09066
12, 035A3, 0, , , , , , , 4.51499, 4.2, 4.92348, 0.314994, 0.408489, 0.361741, 5.78676, 5.54537, 6.05639, 0.241393, 0.269624, 0.255508, 0.308625
12, 035A3, 1, , , , , , , 4.07736, 4.17197, 3.98575, 0.0946073, 0.0916154, 0.0931114, 5.20633, 5.11728, 5.30039, 0.0890493, 0.0940613, 0.0915553, 0.0923333
12, 035A3, 2, , , , , , , , , , , , , 2.75472, 2.61352, 2.88099, 0.141199, 0.126274, 0.133736, 0.133736
12, 035A3, 0, , , , , , , 1.41815, 0.982794, 1.68791, 0.435353, 0.269758, 0.352556, 2.38649, 2.09887, 2.76109, 0.287617, 0.374598, 0.331108, 0.341832
12, 035A3, 1, , , , , , , 1.1659, 1.15839, 1.17601, 0.00751865, 0.0101008, 0.0088097, 2.08994, 2.08994, 2.08994, 0, 0, 0, 0.00440485
12, 035A3, 2, , , , , , , , , , , , , 5.67764, 5.7708, 5.55037, 0.0931553, 0.12727, 0.110213, 0.110213
12, 035A3, 0, , , , , , , 1.20682, 0.927295, 1.41815, 0.279522, 0.21133, 0.245426, 2.19105, 1.93797, 2.46685, 0.253076, 0.275806, 0.264441, 0.254933
