cID,ID,seq,w30,w31,w32,w3d0,w3d1,w3d,w20,w21,w22,w2d0,w2d1,w2d,w10,w11,w12,w1d0,w1d1,w1d,curve
12, 016AB, 0, , , , , , , , , , , , , 2.37841, 2.22649, 2.53605, 0.151921, 0.157635, 0.154778, 0.154778
12, 016AB, 1, , , , , , , , , , , , , 2.42585, 2.40378, 2.44685, 0.0220714, 0.0210055, 0.0215385, 0.0215385
12, 016AB, 2, , , , , , , , , , , , , 3.53638, 3.41989, 3.68201, 0.116492, 0.145628, 0.13106, 0.13106
12, 016AB, 0, , , , , , , , , , , , , 1.60412, 1.2925, 1.87368, 0.311621, 0.269564, 0.290592, 0.290592
12, 016AB, 1, , , , , , , , , , , , , 1.48766, 1.43824, 1.5708, 0.0494102, 0.0831412, 0.0662757, 0.0662757
12, 016AB, 2, , , , , , , , , , , , , 2.77442, 2.60117, 2.89661, 0.173246, 0.122195, 0.14772, 0.14772
12, 016AB, 0, , , , , , , , , , , , , 2.53087, 2.35619, 2.70175, 0.174672, 0.170884, 0.172778, 0.172778
12, 016AB, 1, , , , , , , , , , , , , 2.47195, 2.44685, 2.49809, 0.0250993, 0.0261377, 0.0256185, 0.0256185
12, 016AB, 2, , , , , , , , , , , , , 1.3654, 1.39094, 1.344, 0.0255422, 0.0214034, 0.0234728, 0.0234728
12, 016AB, 0, , , , , , , , , , , , , 3.46334, 3.36026, 3.55982, 0.103081, 0.0964741, 0.0997778, 0.0997778
12, 016AB, 1, , , , , , , , , , , , , 3.51093, 3.44448, 3.57822, 0.0664487, 0.0672936, 0.0668711, 0.0668711
12, 016AB, 2, , , , , , , , , , , , , 2.66324, 2.7367, 2.58994, 0.0734605, 0.0733025, 0.0733815, 0.0733815
12, 016AB, 0, , , , , , , , , , , , , 0.288055, 0.152649, 0.404892, 0.135406, 0.116836, 0.126121, 0.126121
12, 016AB, 1, , , , , , , , , , , , , 0.479519, 0.394791, 0.551655, 0.0847282, 0.0721358, 0.078432, 0.078432
12, 016AB, 2, , , , , , , , , , , , , 3.30674, 3.33899, 3.28349, 0.032247, 0.0232515, 0.0277493, 0.0277493
12, 016AB, 1, , , , , , , 1.24905, 1.01914, 1.49949, 0.229904, 0.250443, 0.240174, 2.19959, 1.81577, 2.4859, 0.383818, 0.286304, 0.335061, 0.287617
12, 016AB, 0, , , , , , , 1.46406, 1.3734, 1.5708, 0.0906599, 0.106736, 0.0986977, 2.44685, 2.41495, 2.48055, 0.031904, 0.0336951, 0.0327996, 0.0657486
12, 016AB, 0, , , , , , , , , , , , , 0.414507, 0.2783, 0.566729, 0.136207, 0.152223, 0.144215, 0.144215
12, 016AB, 0, , , , , , , 1.5708, 1.43824, 1.75065, 0.132552, 0.179853, 0.156202, 2.43297, 2.19959, 2.64765, 0.233374, 0.214685, 0.224029, 0.190116
12, 016AB, 1, , , , , , , 1.40006, 1.43824, 1.3597, 0.0381836, 0.0403582, 0.0392709, 2.5253, 2.39617, 2.71497, 0.129122, 0.18967, 0.159396, 0.0993335
12, 016AB, 1, , , , , , , , , , , , , 3.30674, 3.14159, 3.44448, 0.165148, 0.137736, 0.151442, 0.151442
12, 016AB, 2, , , , , , , , , , , , , 1.63522, 1.8491, 1.45369, 0.213873, 0.181536, 0.197704, 0.197704
12, 016AB, 0, , , , , , , , , , , , , 1.53748, 1.5708, 1.50423, 0.0333213, 0.0332472, 0.0332843, 0.0332843
12, 016AB, 1, , , , , , , , , , , , , 3.39415, 3.40219, 3.38657, 0.00804797, 0.00757551, 0.00781174, 0.00781174
12, 016AB, 0, , , , , , , 2.54317, 2.7468, 2.35619, 0.203628, 0.186979, 0.195304, 1.5708, 1.83705, 1.3597, 0.266252, 0.211093, 0.238673, 0.216988
