class,h0, h1, h2, h3, h4, h5, h6, fl0, fl1, fl2, fl3, fl4, fl5, fl6, fle,  fa0, fa1, fa2, fa3, fa4, fa5, fa6, fae, c0, c1, c2, c3, c4, c5, c6, ce
1,0.197,0.482,0.526,0.592,0.461,0.175,0,0,0.318,0.395,0.493,0.395,0.143,0,  0.823,0,0.0513,-0.139,-0.307,-0.139,-0.124,0,  0.388,0,0.038,-0.0461,0,-0.0461,-0.137,0,  0.157
1,0.169,0.387,0.533,0.726,0.605,0.339,0,0,0.246,0.42,0.642,0.549,0.311,0,  1.02,0,-0.0205,-0.114,-0.158,0.0155,0.0441,0,  0.201,0,-0.123,-0.156,0,-0.0264,-0.0585,0,  0.208
1,0,0.179,0.385,0.615,0.538,0.359,0.0769,0,0.167,0.359,0.577,0.487,0.295,0,  0.902,0,-0.1,-0.174,-0.223,-0.0462,0.0282,0,  0.305,0,-0.163,-0.157,0,-0.0292,-0.0349,0,  0.231
1,0,0.0849,0.212,0.531,0.552,0.425,0.255,0,0.0425,0.127,0.403,0.382,0.212,0,  0.61,0,-0.224,-0.406,-0.397,-0.151,-0.0544,0,  0.631,0,-0.185,-0.232,0,0.0223,-0.015,0,  0.298
1,0,0.23,0.459,0.714,0.714,0.51,0.255,0,0.187,0.374,0.587,0.544,0.298,0,  0.951,0,-0.0796,-0.159,-0.213,0.0109,0.031,0,  0.28,0,-0.149,-0.151,0,0.0189,-0.0381,0,  0.216
1,0,0.152,0.369,0.694,0.716,0.586,0.369,0,0.0904,0.246,0.51,0.47,0.278,0,  0.792,0,-0.176,-0.287,-0.29,-0.0633,0.0117,0,  0.45,0,-0.199,-0.21,0,0.0144,-0.0112,0,  0.29
1,0,0.219,0.438,0.722,0.722,0.547,0.153,0,0.193,0.387,0.646,0.62,0.419,0,  1.08,0,-0.0734,-0.147,-0.154,0.0867,0.153,0,  0.286,0,-0.178,-0.192,0,0.0413,0.0478,0,  0.27
1,0,0.265,0.53,0.662,0.64,0.486,0.309,0,0.213,0.427,0.508,0.434,0.228,0,  0.852,0,-0.0533,-0.107,-0.292,-0.0992,-0.0386,0,  0.333,0,-0.075,-0.027,0,-0.0196,-0.0603,0,  0.102
1,0,0.196,0.417,0.637,0.539,0.368,0.049,0,0.188,0.4,0.613,0.507,0.327,0,  0.967,0,-0.0788,-0.133,-0.187,-0.0268,0.0601,0,  0.252,0,-0.164,-0.149,0,-0.0424,-0.0247,0,  0.226
1,0,0.203,0.405,0.684,0.684,0.456,0.203,0,0.169,0.338,0.582,0.549,0.287,0,  0.93,0,-0.0979,-0.196,-0.218,0.0152,0.0203,0,  0.31,0,-0.164,-0.184,0,0.0273,-0.0461,0,  0.252
1,0.0792,0.264,0.396,0.607,0.449,0.237,0,0,0.198,0.343,0.567,0.422,0.224,0,  0.841,0,-0.0688,-0.19,-0.233,-0.111,-0.0424,0,  0.331,0,-0.126,-0.165,0,-0.0855,-0.0997,0,  0.245
1,0,0.286,0.508,0.698,0.571,0.381,0.0317,0,0.28,0.497,0.683,0.55,0.354,0,  1.1,0,0.0138,-0.036,-0.117,0.0169,0.0878,0,  0.153,0,-0.114,-0.115,0,-0.0622,-0.04,0,  0.178
