tag, ID, isRandom, wall0Angle, wall1Angle, pitToPitAngle, builtWallAngle, wallBisectedAngle, pitToPitTangent, deltaBuiltBisected, deltaBuiltToPitTangent, deltaBuiltToPitTangentOverSumDeltas,distApexToWallmm ,distApexToWall2mm 
3, 102A1, 0, 3.05845, 6.13611, 0, 1.43373, 4.59728, 0, 0.0219563, 0, 0, inf, inf
3, 103A1, 0, 1.0122, 4.35362, 0, 2.67795, 2.68291, 0, 0.00496244, 0, 0, inf, inf
3, 103A1, 0, 1.04752, 4.34306, 0, 5.91229, 2.69529, 0, 0.0754146, 0, 0, inf, inf
3, 103A1, 0, 1.5708, 5.70681, 0, 3.64869, 3.6388, 0, 0.00988808, 0, 0, inf, inf
3, 103A1, 0, 2.57828, 4.60173, 0, 0.27491, 3.59, 0, 0.173501, 0, 0, inf, inf
3, 104A1, 0, 2.02056, 4.18759, 0, 0.0285637, 3.10407, 0, 0.0660817, 0, 0, 0.332325, 0.996976
3, 104A1, 0, 0.0166651, 0.0166651, 0, 4.71239, 0.0166651, 0, 1.55413, 0, 0, 236.403, 709.208
3, 104A1, 0, 1.01649, 5.1213, 0, 3.14159, 3.06889, 0, 0.0726999, 0, 0, 0, 0
3, 104A1, 0, 2.02146, 3.98575, 0, -0, 3.0036, 0, 0.137991, 0, 0, 0.110775, 0.332325
3, 104A1, 0, 1.0839, 5.14706, 0, 3.14159, 3.11548, 0, 0.0261149, 0, 0, 0.247701, 0.743102
3, 104A1, 0, 1.10715, 5.17604, 0, 3.14159, 3.14159, 0, 3.89414e-07, 0, 0, 0.247701, 0.743102
3, 104A1, 0, 2.06474, 4.20955, 0, 6.25195, 3.13714, 0, 0.0267888, 0, 0, 0.110775, 0.332325
3, 106A1, 0, 1.44644, 4.71239, 0, -0, 3.07942, 0, 0.0621776, 0, 0, 0.877268, 2.6318
3, 106A1, 0, 1.59711, 4.64108, 0, 3.17606, 3.11909, 0, 0.0569681, 0, 0, 0.775403, 2.32621
3, 106A1, 0, 1.68791, 4.64997, 0, 6.25541, 3.16894, 0, 0.0551158, 0, 0, 0.245204, 0.735612
3, 107A1, 0, 2.05032, 4.21845, 0, 6.20925, 3.13438, 0, 0.0667282, 0, 0, 0.110175, 0.330526
3, 107A1, 0, 1.94513, 4.09214, 0, 6.15883, 3.01863, 0, 0.00139722, 0, 0, 0.110175, 0.330526
3, 107A1, 0, 0.90675, 5.1448, 0, 3.06176, 3.02577, 0, 0.0359892, 0, 0, 0.246359, 0.739078
3, 107A1, 0, 1.98902, 4.06131, 0, 6.24474, 3.02517, 0, 0.0779838, 0, 0, 0.110175, 0.330526
3, 108A1, 0, 1.83916, 4.77682, 0, 3.14159, 3.30799, 0, 0.166396, 0, 0, 1.2188, 3.6564
3, 108A1, 0, 1.74751, 4.74464, 0, 0.0867383, 3.24607, 0, 0.0177396, 0, 0, 0.909927, 2.72978
3, 109A1, 0, 1.71269, 4.89774, 0, 0.033321, 3.30522, 0, 0.130302, 0, 0, 1.10019, 3.30057
3, 114A1, 0, 2.99122, 5.07637, 0, 1.13839, 4.03379, 0, 0.246187, 0, 0, 0.345029, 1.03509
3, 114A1, 0, 2.01522, -0, 0, 4.24874, 1.00761, 0, 0.0995411, 0, 0, 0.243972, 0.731916
3, 114A1, 0, 3.14159, 5.22684, 0, 1.0637, 4.18422, 0, 0.021074, 0, 0, 0.109108, 0.327323
3, 114A1, 0, 3.07502, 5.01089, 0, 1.10715, 4.04296, 0, 0.205785, 0, 0, 0, 0
3, 114A1, 0, 2.88792, 1.03038, 0, 5.01827, 1.95915, 0, 0.0824727, 0, 0, 0.109108, 0.327323
3, 114A1, 0, 3.03094, 0.956133, 0, 5.07493, 1.99353, 0, 0.0601941, 0, 0, 0, 0
3, 114A1, 0, 2.9694, 0.954499, 0, 5.16111, 1.96195, 0, 0.0575692, 0, 0, 0.154301, 0.462904
3, 114A1, 0, 2.88792, 0.817645, 0, 5.02529, 1.85278, 0, 0.0309156, 0, 0, 0.154301, 0.462904
3, 115A1, 0, 2.98499, 0.0222186, 0, 1.5351, 1.5036, 0, 0.0314926, 0, 0, 0.974779, 2.92434
3, 115A1, 0, 2.9927, 0.0454233, 0, 4.8955, 1.51906, 0, 0.234844, 0, 0, 0.731084, 2.19325
3, 115A1, 0, 3.2876, -0, 0, 1.6588, 1.6438, 0, 0.0150012, 0, 0, 0.108984, 0.326951
3, 115A1, 0, 3.31626, -0, 0, 4.7837, 1.65813, 0, 0.0160285, 0, 0, 1.17379, 3.52137
3, 116A1, 0, 1.28274, 5.60266, 0, 3.50414, 3.4427, 0, 0.0614347, 0, 0, inf, inf
3, 117A1, 0, 1.3734, 5.52481, 0, 3.48462, 3.4491, 0, 0.0355124, 0, 0, inf, inf
3, 117A1, 0, 1.27934, 5.49779, 0, 3.44448, 3.38856, 0, 0.0559143, 0, 0, -nan(ind), -nan(ind)
3, 117A1, 0, 2.28963, 4.40434, 0, 0.274167, 3.34698, 0, 0.0687787, 0, 0, -nan(ind), -nan(ind)
3, 118A1, 0, 2.05527, 5.06116, 0, 0.358771, 3.55822, 0, 0.0578538, 0, 0, 0, 0
